epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,513.172,0.94387,1.93821,0.94224,0.97379,0.95122,0.97195,0.74517,0.83301,1.08716,0.86598,0.000663946,0.000663946,0.000663946
2,1134.75,0.86338,0.99406,0.89183,0.98712,0.96256,0.98177,0.74984,0.80629,0.78502,0.87233,0.00119888,0.00119888,0.00119888
3,1646.27,0.8574,0.73343,0.89224,0.98333,0.95845,0.97874,0.77405,0.77163,0.63599,0.8735,0.00160182,0.00160182,0.00160182
4,2159.43,0.78419,0.6034,0.86625,0.98282,0.96377,0.97999,0.78639,0.7108,0.54159,0.84286,0.001406,0.001406,0.001406
5,2672.52,0.73948,0.52543,0.85497,0.98525,0.96908,0.98811,0.81344,0.65934,0.46296,0.83553,0.001208,0.001208,0.001208
6,3186.22,0.66908,0.46154,0.84102,0.98714,0.96378,0.98585,0.82739,0.62135,0.42845,0.8278,0.00101,0.00101,0.00101
7,3699.35,0.66126,0.44207,0.83398,0.98916,0.96984,0.99027,0.85011,0.59703,0.3894,0.81991,0.000812,0.000812,0.000812
8,4211.06,0.60615,0.39754,0.82883,0.98645,0.9744,0.99314,0.86078,0.55947,0.36321,0.81448,0.000614,0.000614,0.000614
9,4725.38,0.58722,0.38074,0.81644,0.98238,0.97729,0.99214,0.86918,0.53404,0.34113,0.80777,0.000416,0.000416,0.000416
10,5240.89,0.55161,0.35652,0.81205,0.9858,0.97729,0.99194,0.85956,0.54734,0.34001,0.80799,0.000218,0.000218,0.000218
